Country Name,Country Code,Series Name,Series Code,2021 [YR2021],2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007]
South Sudan,SSD,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,..,..,30170.0000762939,32610.0006103516,31190.0005340576,32000,31530.0006866455,31340.0001525879,29629.9991607666,28459.9990844727,44560.001373291,48099.9984741211,47659.9998474121,46000,44770.0004577637
South Sudan,SSD,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,..,..,50909.9998474121,57319.9996948242,54439.998626709,56619.9989318848,55740.0016784668,54849.9984741211,52770.0004577637,52159.9998474121,66419.9981689453,69980.0033569336,70720.0012207031,68550.0030517578,67529.9987792969
South Sudan,SSD,SF6 gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.SF6G.KT.CE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Spain,ESP,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,..,..,20060,20420,20690,20280,20490,20360,19560,19000,19650,20700,20230,20580,22850
Spain,ESP,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,..,..,..,..,..,4827.6796875,6208.849609375,13220.806640625,12774.185546875,12907.078125,8170.48046875,7985.689453125,8089.595703125,6845.833984375,4787.212890625
Spain,ESP,HFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.HFCG.KT.CE,..,..,..,..,..,..,..,..,..,..,..,9968,..,8600.9,..
Spain,ESP,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,..,..,39279.9987792969,39099.9984741211,39080.0018310547,38700.0007629395,38580.0018310547,37000,37180.0003051758,37729.9995422363,38430.0003051758,38590.0001525879,40159.9998474121,38459.9990844727,40029.9987792969
Spain,ESP,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,..,..,306950.012207031,324880.004882813,332220.001220703,315700.012207031,325279.998779297,314690.002441406,315989.990234375,342350.006103516,348739.990234375,349269.989013672,364429.992675781,401190.002441406,434489.990234375
Spain,ESP,SF6 gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.SF6G.KT.CE,..,..,..,..,..,..,..,..,..,..,..,944,..,893.4,..
Sri Lanka,LKA,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,..,..,2450,2240,2370,2530,3220,3120,2590,2830,3040,2760,2780,2950,2610
Sri Lanka,LKA,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,..,..,..,..,..,4415.3092041016,4109.6281738281,2332.5181884766,1650.6722412109,1903.9979248047,645.767211914101,-911.2121582031,-497.7423095703,-299.8358154297,-268.919311523399
Sri Lanka,LKA,HFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.HFCG.KT.CE,..,..,..,..,..,..,..,..,..,..,..,0,..,0,..
Sri Lanka,LKA,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,..,..,8220.00026702881,8430.00030517578,7590.00015258789,8470.00026702881,8949.99980926514,8000,8930.00030517578,8939.9995803833,8680.00030517578,8600.00038146973,8130.00011444092,8300.00019073486,7630.00011444092
Sri Lanka,LKA,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,..,..,35990.0016784668,33689.998626709,34470.0012207031,33869.9989318848,33279.9987792969,29379.9991607666,26590.0001525879,29120.0008392334,27569.9996948242,24770.0004577637,23510.0002288818,24340.0001525879,24079.9999237061
Sri Lanka,LKA,SF6 gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.SF6G.KT.CE,..,..,..,..,..,..,..,..,..,..,..,0,..,0,..
St. Kitts and Nevis,KNA,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,..,..,10,10,10,10,10,10,10,10,10,10,10,10,10
